,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,Temp_celsius,Weather,Wind_kmph,Humidity_percent,Laundry_count,Day,Hour
0,19/10/2015,20:17:50,3,1,1,28.0,1,4,0,8,0,2,1,0,1,1,0,3,0,20.0,2.0,9.0,2.91231642,101.6579478,1.0,29.0,0,2.0,74.0,1,1,20
1,19/10/2015,20:28:42,3,1,2,32.0,0,1,0,9,0,10,1,5,0,1,3,2,0,19.0,4.0,21.0,2.922506027,101.6431294,3.0,29.0,0,2.0,74.0,1,1,20
2,19/10/2015,20:58:31,3,0,1,30.0,0,1,0,1,0,9,1,0,0,1,1,3,0,18.0,2.0,13.0,2.93553339,101.7371698,1.0,29.0,0,2.0,74.0,1,1,20
3,19/10/2015,21:31:28,2,1,2,51.0,0,1,0,0,0,0,1,14,1,1,2,2,0,13.0,2.0,16.0,2.949923904,101.637069,1.0,28.0,0,7.0,84.0,2,1,21
4,19/10/2015,21:40:28,2,1,1,34.0,0,1,0,1,0,2,1,13,0,1,0,2,0,15.0,1.0,13.0,2.903529733,101.6612493,3.0,28.0,0,7.0,84.0,1,1,21
5,19/10/2015,23:45:38,3,1,0,50.0,0,1,0,9,0,3,1,5,0,1,1,1,0,35.0,5.0,16.0,2.928514231,101.72064,3.0,27.0,0,4.0,89.0,1,1,23
6,19/10/2015,23:53:38,3,0,0,45.0,0,1,0,6,2,2,1,0,0,1,2,3,0,30.0,3.0,17.0,2.970783341,101.6744587,2.0,27.0,0,4.0,89.0,8,1,23
7,20/10/2015,0:24:01,2,1,2,49.0,0,1,0,1,0,10,1,6,0,1,0,2,0,46.0,0.0,16.0,2.951176457,101.7465264,3.0,27.0,0,7.0,89.0,3,5,0
8,20/10/2015,0:45:19,2,1,2,30.0,0,1,1,7,0,10,1,0,1,1,3,3,0,60.0,4.0,17.0,2.955301618,101.7039608,2.0,27.0,0,7.0,89.0,1,5,0
9,20/10/2015,1:17:50,0,0,1,33.0,0,1,1,6,0,10,1,5,1,1,2,0,0,23.0,0.0,10.0,2.9086064,101.6668225,3.0,26.0,0,6.0,94.0,1,5,1
10,20/10/2015,3:07:16,3,0,1,45.0,0,1,0,8,0,10,1,8,1,1,1,1,0,56.0,2.0,21.0,2.967033313,101.6523208,3.0,26.0,0,4.0,94.0,2,5,3
11,20/10/2015,7:23:12,3,1,1,37.0,0,1,0,1,0,3,1,0,0,1,1,1,0,36.0,5.0,18.0,2.962150972,101.7110964,3.0,25.0,0,2.0,94.0,1,5,7
12,20/10/2015,7:23:12,3,0,1,53.0,0,1,0,1,0,2,0,5,0,1,0,0,0,15.0,1.0,7.0,2.928768234,101.6912621,3.0,25.0,0,2.0,94.0,2,5,7
13,20/10/2015,9:06:14,3,1,1,32.0,0,1,0,10,0,11,1,0,0,1,0,2,1,15.0,2.0,7.0,2.941112411,101.7132003,1.0,26.0,0,0.0,89.0,1,5,9
14,20/10/2015,10:05:17,3,0,1,55.0,1,4,0,8,0,3,0,8,0,1,0,1,1,23.0,1.0,11.0,2.939276297,101.6442602,3.0,28.0,0,4.0,84.0,1,5,10
15,20/10/2015,10:41:35,3,1,2,33.0,0,1,0,2,1,10,0,6,0,1,2,2,0,39.0,0.0,9.0,2.957245277,101.6766783,1.0,28.0,0,4.0,84.0,3,5,10
